"TrialID","COUNTRY","Countries"
"NCT04984265","BRA","Brazil"
"NCT04107961","",""
"NCT05017194","TZA","Tanzania"
"NCT04090489","ARG","Argentina"
"ISRCTN26467068","BRA","Brazil"
"NCT04084379","ARG","Argentina"
"ISRCTN18009264","SDN","Sudan"
"ACTRN12618001086257","SLB","Solomon Islands"
"CTRI/2018/06/014579","IND","India"
"CTRI/2018/05/014015","IND","India"
"NCT03587766","ESP","Spain"
"NCT03524768","BRA","Brazil"
"CTRI/2018/04/013350","IND|BGD","Bangladesh;India"
"RBR-53x476","BRA","Brazil"
"NCT03501251","TZA","Tanzania"
"NCT03465488","BRA|ETH|LAO|TZA","Brazil;Ethiopia;Lao People's Democratic Republic;Tanzania;Brazil;Ethiopia;Lao People's Democratic Republic;Tanzania"
"ISRCTN16000867","CHE|CIV","Cote d'Ivoire;Switzerland"
"NCT03399955","SDN","Sudan"
"NCT04115072","MDG","Madagascar"
"NCT03378661","BOL","Bolivia;Bolivia;Bolivia;Bolivia"
"ACTRN12619001048178","PHL","Philippines"
"NCT03350295","ARG","Argentina"
"NCT04024163","ARG|BOL|COL","Argentina;Bolivia;Colombia;Argentina;Bolivia;Colombia"
"NCT03334838","ARG","Argentina"
"NCT04023227","ARG|BRA|MEX|COL","Argentina;Brazil;Colombia;Mexico;Argentina;Brazil;Colombia;Mexico"
"NCT03311607","",""
"NCT04020536","CHN","China"
"NCT03257072","NLD","Netherlands"
"NCT04003532","ETH","Ethiopia"
"ISRCTN45013173","TZA","Tanzania"
"ISRCTN14795012","ESP","Spain"
"NCT03187366","SEN","Senegal"
"CTRI/2019/04/018673","IND","India"
"NCT03189056","BOL","Bolivia"
"NCT03929016","GBR","United Kingdom"
"NCT03177993","FJI","Fiji"
"NCT03910972","UGA","Uganda"
"EUCTR2016-004905-15-ES","ESP","Spain"
"NCT03981523","BOL","Bolivia"
"CTRI/2017/05/008656","IND","India"
"NCT03893097","SEN","Senegal"
"ACTRN12617000738325","FJI","Fiji"
"NCT03870204","IDN","Indonesia"
"NCT03158298","DEU","Germany"
"ACTRN12619000309189","VNM","Viet Nam"
"CTRI/2017/04/008421","IND|BGD","Bangladesh;India"
"NCT03845140","CIV|DEU|KEN","Côte D'Ivoire;Kenya;Côte D'Ivoire;Kenya;Germany"
"NCT03129646","ETH|KEN|UGA|SDN","Ethiopia;Kenya;Sudan;Uganda;Ethiopia;Kenya;Sudan;Uganda"
"NCT04239144","BRA","Brazil"
"NCT03133832","TZA","Tanzania;Tanzania;Tanzania;Tanzania;Tanzania"
"NCT03799510","SEN","Senegal"
"NCT03126552","NLD","Netherlands"
"NCT03784391","ARG","Argentina"
"NCT03269006","BGD","Bangladesh"
"NCT03779347","GAB","Gabon"
"NCT03784248","FRA","France"
"NCT03704181","BRA","Brazil"
"RBR-59j8xf","BRA","Brazil"
"NCT03672487","ARG|USA","United States;Argentina;United States"
"RBR-5x762v","BRA","Brazil"
"NCT03702530","NLD","Netherlands"
"NCT03646981","ETH|KEN","Ethiopia;Kenya;Ethiopia;Kenya"
"NCT03636659","IND|BGD","Bangladesh;India;Bangladesh;India"
"NCT03640377","UGA|GBR","Uganda;United Kingdom;Uganda;United Kingdom"
"ACTRN12615001012561","TLS","Timor-Leste"
"NCT02517632","BRA","Brazil;Brazil;Brazil;Brazil;Brazil"
"NCT02516293","BRA","Brazil"
"ISRCTN63657086","CIV","Cote d'Ivoire"
"ISRCTN17968589","BFA|NPL","Burkina Faso;Nepal"
"NCT02495909","ZWE","Zimbabwe"
"CTRI/2015/05/005807","IND","India"
"NCT02441699","GBR","United Kingdom"
"NCT02431143","KEN|UGA","Kenya;Uganda;Kenya;Uganda;Kenya;Uganda;Kenya;Uganda"
"RBR-5m6748","BRA","Brazil"
"RBR-2md5dr","BRA","Brazil"
"EUCTR2015-001226-42-Outside-EU/EEA","TZA","Tanzania, United Republic of"
"NCT02369978","COL","Colombia;Colombia;Colombia;Colombia;Colombia"
"NCT02346123","BRA","Brazil"
"NCT02386358","ARG","Argentina"
"ISRCTN13601686","CHE|UGA|VNM","Switzerland;Uganda;Viet Nam"
"NCT02193022","BGD","Bangladesh"
"RBR-6tnw2b","BRA","Brazil"
"NCT02337855","USA","United States;United States;United States;United States;United States"
"NCT03110757","BRA","Brazil"
"NCT02327052","BRA","Brazil"
"ISRCTN20398469","TZA","Tanzania"
"PACTR201412000959159","TZA","Tanzania"
"ISRCTN15280205","CIV","Cote d'Ivoire"
"CTRI/2017/02/007773","IND","India"
"ISRCTN99401114","CIV","Cote d'Ivoire"
"ISRCTN15371662","UGA","Uganda"
"ACTRN12614001067662","LAO","Lao People's Democratic Republic"
"NCT03013673","ETH","Ethiopia"
"ISRCTN67590499","ZMB","Zambia"
"ISRCTN10926858","CHE|CIV|GBR","Cote d'Ivoire;Switzerland;United Kingdom;England"
"NCT02295215","BRA","Brazil"
"NCT02498782","BOL","Bolivia"
"PACTR201612001914353","TZA","Tanzania;Tanzania;Tanzania"
"NCT03892213","ARG","Argentina"
"EUCTR2016-003789-21-ES","ARG|BRA|ESP|COL","Argentina;Brazil;Spain;Colombia"
"NCT02194712","NLD","Netherlands"
"ACTRN12614000680662","TLS","Timor-Leste"
"NCT03041766","SEN","Senegal;Senegal;Senegal;Senegal"
"CTRI/2016/08/007190","IND","India"
"NCT02878564","UGA","Uganda"
"NCT02868385","CIV","Côte D'Ivoire"
"NCT02839603","ETH","Ethiopia"
"NCT02806232","DEU","Germany"
"CTRI/2016/06/007020","IND","India"
"CTRI/2016/05/006958","IND","India"
"CTRI/2016/04/006898","IND","India"
"NCT02755324","NLD","Netherlands"
"ACTRN12616000508471","PHL","Philippines"
"NCT02734186","MLI","Mali"
"NCT02646943","",""
"ISRCTN32045736","NER","Niger"
"ISRCTN16755535","KEN","Kenya"
"ISRCTN95819193","TZA","Tanzania"
"ISRCTN14117624","MOZ","Mozambique"
"NCT02625974","ARG|BOL|COL","Argentina;Bolivia;Colombia;Argentina;Bolivia;Colombia"
"ISRCTN14849830","KEN","Kenya"
"NCT02606864","ARG","Argentina"
"NCT02148822","",""
"NCT02144389","EGY","Egypt"
"ISRCTN53102033","CIV","Cote d'Ivoire"
"NCT02099903","BRA","Brazil"
"NCT02071758","USA","United States"
"NCT02032043","CIV","Côte D'Ivoire"
"NCT02011958","ETH","Ethiopia"
"ISRCTN75636394","IDN","Indonesia"
"ISRCTN37143632","CIV","Cote d'Ivoire"
"NCT01980199","SDN","Sudan;Sudan"
"ISRCTN48837681","CHE|TZA|GBR","Switzerland;Tanzania;United Kingdom;England"
"NCT01975051","BGD","Bangladesh"
"CTRI/2012/08/002891","IND","India"
"ACTRN12613001089729","CHN","China"
"NCT01662362","USA","United States;United States;United States;United States"
"NCT01927224","ARG","Argentina"
"EUCTR2012-002645-38-ES","ESP","Spain"
"JPRN-UMIN000011426","","Asia(except Japan)"
"ChiCTR-PRC-12002405","CHN","China"
"NCT01905436","LBR","Liberia"
"NCT01650792","BRA","Brazil"
"EUCTR2013-000161-36-ES","VEN|ARG|ESP|MEX|PER|CHL|COL|GTM","Venezuela, Bolivarian Republic of;Mexico;Argentina;Spain;Guatemala;Peru;Chile;Colombia"
"NCT01874795","BRA","Brazil"
"NCT01901484","UGA","Uganda"
"NCT01905423","IDN","Indonesia"
"NCT01869465","UGA","Uganda"
"ACTRN12612000367842","BGD","Bangladesh"
"ISRCTN97311712","CHN","China"
"NCT01842880","BRA","Brazil"
"NCT01566552","IND","India"
"NCT01842867","BRA","Brazil"
"NCT01566617","BRA","Brazil"
"NCT01842854","BRA","Brazil;Brazil;Brazil;Brazil;Brazil"
"NCT01558336","SDN","Sudan"
"NCT01931826","BRA","Brazil"
"NCT01553552","SEN","Senegal"
"NCT01787968","ARG|BEL|HND|MEX|USA","United States;Argentina;Belgium;Honduras;Mexico;Argentina;Belgium;Honduras;Mexico;United States"
"ChiCTR-TRC-12001988","CHN","China"
"NCT01766830","COD|KHM|NPL|SDN","Cambodia;Congo, The Democratic Republic of the;Nepal;Sudan;Cambodia;Congo, The Democratic Republic of the;Nepal;Sudan"
"NCT01678599","BOL","Bolivia"
"NCT01755403","ESP","Spain"
"NCT01549236","ARG","Argentina"
"NCT01547533","ARG","Argentina"
"NCT01755377","ESP","Spain"
"NCT01681420","BRA","Brazil"
"NCT01744405","ARG","Argentina"
"NCT01557140","BRA","Brazil"
"NCT01541631","TZA","Tanzania"
"NCT01539161","ARG|BRA|COL","Argentina;Colombia;Argentina;Colombia;Brazil;Argentina;Colombia;Argentina;Colombia;Brazil"
"NCT01529710","EGY","Egypt"
"NCT01512277","FRA","France"
"RBR-95jnqp","BRA","Brazil"
"EUCTR2011-002900-34-ES","ESP","Spain"
"NCT01489228","BOL","Bolivia"
"CTRI/2011/11/002145","IND","India"
"ISRCTN25371788","CHN","China"
"ISRCTN53172722","CIV","Cote d'Ivoire"
"NCT01459146","GHA","Ghana"
"NCT01437020","IND","India"
"EUCTR2011-002022-41-ES","ESP","Spain"
"NCT01379326","ARG|AUS|BRA|CHE|CMR|ETH|KHM|TZA|VNM","Argentina;Australia;Brazil;Cambodia;Cameroon;Ethiopia;Tanzania;Vietnam;Argentina;Australia;Brazil;Cambodia;Cameroon;Ethiopia;Tanzania;Vietnam;Switzerland;United Kingdom"
"NCT01424410","ZWE","Zimbabwe;Zimbabwe;Zimbabwe;Zimbabwe;Zimbabwe"
"ISRCTN83836427","TZA","Tanzania"
"NCT01069198","BGD","Bangladesh"
"NCT01377480","ARG|DEU|ESP|MEX|CHL|COL|GTM","Argentina;Chile;Colombia;Germany;Guatemala;Mexico;Spain"
"NCT01067443","KEN|SDN","Kenya;Sudan;Kenya;Sudan;Kenya;Sudan;Kenya;Sudan;Kenya;Sudan;Kenya;Sudan;Kenya;Sudan;Kenya;Sudan;Kenya;Sudan;Kenya;Sudan"
"ACTRN12610000130066","NPL","Nepal"
"RBR-88btzp","BRA","Brazil"
"ACTRN12610000048088","CHN","China"
"NCT01350271","LKA","Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka"
"NCT01340963","BRA|USA","United States;Brazil;United States;Brazil"
"NCT01032187","BRA","Brazil;Brazil;Brazil;Brazil;Brazil"
"NCT01327469","ETH","Ethiopia"
"ACTRN12609001029280","BGD","Bangladesh"
"NCT01310738","BRA","Brazil;Brazil;Brazil;Brazil;Brazil"
"NCT01006486","BRA","Brazil"
"ACTRN12611000193976","CHN","China"
"NCT01006473","BRA","Brazil"
"NCT01288872","PHL","Philippines"
"CTRI/2009/091/000764","IND","India"
"NCT01328457","BGD","Bangladesh"
"NCT00982774","SDN","Sudan"
"NCT01260012","ETH","Ethiopia"
"SLCTR/2009/009","LKA","Sri Lanka"
"NCT01240473","BGD","Bangladesh"
"ACTRN12609000263291","CHN","China"
"NCT01214785","IND","India;India;India;India;India"
"NCT00870649","SEN","Senegal"
"NCT01154907","ZAF","South Africa;South Africa;South Africa;South Africa;South Africa"
"CTRI/2009/091/000058","IND","India"
"NCT01154049","BRA","Brazil"
"ISRCTN08336605","TZA","Tanzania"
"NCT01138956","BRA","Brazil"
"NCT00832208","ETH|SDN","Ethiopia;Sudan;Ethiopia;Sudan"
"NCT01132248","GAB","Gabon"
"ISRCTN47375023","CHN","China"
"ISRCTN00393859","CIV","Cote d'Ivoire"
"NCT00875173","BRA","Brazil"
"NCT01162967","ESP","Spain"
"ISRCTN06498763","CIV","Cote d'Ivoire"
"NCT01122771","BGD","Bangladesh"
"NCT00713999","MDG","Madagascar"
"ACTRN12610000299000","ECU","Ecuador"
"EUCTR2009-017467-42-ES","ESP","Spain"
"NCT00699387","ARG","Argentina"
"NCT00696969","IND","India"
"NCT00629031","IND","India"
"NCT00628719","IND","India"
"NCT00604955","IND","India"
"ISRCTN99822704","IND","India"
"NCT00523965","IND","India"
"NCT00510159","MLI","Mali"
"NCT00497601","IND","India"
"NCT00486863","USA|PHL","Philippines;United States;Philippines;United States;Philippines;United States;Philippines;United States"
"ISRCTN61195515","ECU","Ecuador"
"NCT00255567","ETH|KEN|UGA|SDN","Ethiopia;Kenya;Sudan;Uganda;Ethiopia;Kenya;Sudan;Uganda"
"NCT00215267","UGA","Uganda"
"NCT00138450","KEN|USA","Kenya;United States"
"NCT00123916","ARG|BRA|BOL|COL|SLV|CAN","Argentina;Bolivia;Brazil;Colombia;El Salvador;Argentina;Bolivia;Brazil;Colombia;El Salvador;Canada"
"ISRCTN68386084","IND","India"
"ISRCTN29273316","BRA|TZA|MRT|PHL","Brazil;Mauritania;Philippines;Tanzania"
"ISRCTN63456799","BEL","Belgium"
"NCT00023556","",""
"NCT00005455","",""
"NCT00001169","USA","United States"
"NCT00486382","IND","India"
"ISRCTN13967269","ARG|BRA|CAN|COL","Argentina;Brazil;Canada;Colombia"
"NCT00463307","KEN","Kenya"
"NCT00463632","BFA","Burkina Faso"
"NCT00463528","",""
"NCT00463593","UGA","Uganda"
"NCT00463931","GHA","Ghana"
"NCT00453700","USA","United States"
"NCT00414479","KEN","Kenya"
"NCT00381394","IND","India;India;India;India;India"
"NCT00371995","IND","India"
"NCT00370825","IND","India"
"NCT00349323","ZMB","Zambia"
"NCT00342823","BRA|USA","Brazil;United States;Brazil;United States;Brazil;United States;Brazil;United States;Brazil;United States"
"NCT00318721","IND|NPL","India;Nepal;India;Nepal"
"NCT00310505","IND","India"
"ISRCTN82278211","CIV","Cote d'Ivoire"
"NCT00276224","ZMB","Zambia"
